number,value,datetime_start,datetime_complete,duration,params_act_fn,params_d_h1,params_d_h2,params_d_h3,params_dropout,params_lr,params_n_layers,params_optimizer_name,params_use_bn,params_weight_decay,state
0,0.6148498566161357,2025-11-15 18:03:57.751080,2025-11-15 18:04:20.910591,0 days 00:00:23.159511,GELU,128,128,64.0,0.1,0.006962148912149523,3,SGD,False,0.004112557977337738,COMPLETE
1,0.6358517507266571,2025-11-15 18:04:20.910973,2025-11-15 18:04:41.502682,0 days 00:00:20.591709,ReLU,64,128,,0.5,0.0006322109292405169,2,SGD,False,0.008219332971806095,COMPLETE
2,0.6191616004892528,2025-11-15 18:04:41.503147,2025-11-15 18:04:54.641920,0 days 00:00:13.138773,GELU,256,64,64.0,0.30000000000000004,0.0003151576596234524,3,AdamW,True,0.006210097727801661,COMPLETE
3,0.6252977452470583,2025-11-15 18:04:54.642269,2025-11-15 18:04:58.155308,0 days 00:00:03.513039,SiLU,128,128,,0.0,0.0008904565266807931,2,AdamW,True,0.009465547776684777,COMPLETE
4,0.6232394450448554,2025-11-15 18:04:58.155675,2025-11-15 18:05:02.313132,0 days 00:00:04.157457,GELU,128,128,32.0,0.30000000000000004,0.008189720901409295,3,AdamW,False,3.39012367815672e-05,COMPLETE
5,0.6211624030575089,2025-11-15 18:05:02.313568,2025-11-15 18:05:24.918484,0 days 00:00:22.604916,SiLU,64,64,16.0,0.4,0.002800187552036363,3,SGD,True,0.0002634839336795363,COMPLETE
6,0.6248097398355937,2025-11-15 18:05:24.918885,2025-11-15 18:05:37.548150,0 days 00:00:12.629265,ReLU,64,64,,0.1,0.00010317917255893683,2,AdamW,False,0.00017589879160705626,COMPLETE
7,0.6127434439723267,2025-11-15 18:05:37.548551,2025-11-15 18:06:00.408706,0 days 00:00:22.860155,GELU,256,32,,0.5,0.006382190601810621,2,SGD,True,0.0011526380708308543,COMPLETE
8,0.6417340580123423,2025-11-15 18:06:00.409399,2025-11-15 18:06:20.248243,0 days 00:00:19.838844,SiLU,256,64,,0.0,0.00013751107152756565,2,SGD,False,1.4095471747685928e-05,COMPLETE
9,0.640162407550042,2025-11-15 18:06:20.248619,2025-11-15 18:06:45.880054,0 days 00:00:25.631435,SiLU,64,32,32.0,0.5,0.0008489127977178173,3,SGD,True,0.0019125545063616565,COMPLETE
10,0.616606712608594,2025-11-15 18:06:45.880431,2025-11-15 18:07:08.080422,0 days 00:00:22.199991,GELU,256,32,,0.4,0.0029674390505427055,2,SGD,True,0.0008538025348469036,COMPLETE
11,0.6116464544304818,2025-11-15 18:07:08.080936,2025-11-15 18:07:23.337311,0 days 00:00:15.256375,GELU,128,32,64.0,0.2,0.009190401408342498,3,SGD,False,0.0015498208235656806,COMPLETE
12,0.617995382958998,2025-11-15 18:07:23.337663,2025-11-15 18:07:42.637330,0 days 00:00:19.299667,GELU,256,32,64.0,0.2,0.003161223639358315,3,SGD,False,0.0008318642174388264,COMPLETE
13,0.6146257837791614,2025-11-15 18:07:42.637709,2025-11-15 18:07:57.349127,0 days 00:00:14.711418,GELU,128,32,,0.2,0.005967155955618896,2,SGD,True,0.0009565601577445691,COMPLETE
14,0.6261122790687287,2025-11-15 18:07:57.349475,2025-11-15 18:08:17.371998,0 days 00:00:20.022523,GELU,256,32,,0.4,0.0015861750656307135,2,SGD,False,0.00010034730332659543,COMPLETE
15,0.6092521783482333,2025-11-15 18:08:17.372347,2025-11-15 18:08:28.670075,0 days 00:00:11.297728,GELU,128,32,16.0,0.2,0.009707384260358618,3,SGD,True,0.0022639987682076573,COMPLETE
16,0.6089364921030976,2025-11-15 18:08:28.670544,2025-11-15 18:08:45.077537,0 days 00:00:16.406993,ReLU,128,32,16.0,0.1,0.0043319293002493315,3,SGD,True,0.002927336442378577,COMPLETE
17,0.610021713068667,2025-11-15 18:08:45.078003,2025-11-15 18:09:01.317159,0 days 00:00:16.239156,ReLU,128,32,16.0,0.1,0.004170033297363956,3,SGD,True,0.0031389136116207173,COMPLETE
18,0.6105715143306373,2025-11-15 18:09:01.317530,2025-11-15 18:09:06.557987,0 days 00:00:05.240457,ReLU,128,32,16.0,0.1,0.00166986497441742,3,AdamW,True,0.00046760513168151623,COMPLETE
19,0.6191970441373474,2025-11-15 18:09:06.558388,2025-11-15 18:09:13.777253,0 days 00:00:07.218865,ReLU,128,32,16.0,0.0,0.004801910166606491,3,SGD,True,0.0027100576483435764,COMPLETE
20,0.6212606507566477,2025-11-15 18:09:13.777759,2025-11-15 18:09:40.018256,0 days 00:00:26.240497,ReLU,128,32,16.0,0.30000000000000004,0.001728267811453119,3,SGD,True,0.00038780556595141097,COMPLETE
21,0.6094844998800166,2025-11-15 18:09:40.018616,2025-11-15 18:09:54.072909,0 days 00:00:14.054293,ReLU,128,32,16.0,0.1,0.004411118480215949,3,SGD,True,0.003884316981750631,COMPLETE
22,0.6094230996119068,2025-11-15 18:09:54.073261,2025-11-15 18:10:05.180014,0 days 00:00:11.106753,ReLU,128,32,16.0,0.2,0.009480367312972969,3,SGD,True,0.004536372646495775,COMPLETE
23,0.6099216935345945,2025-11-15 18:10:05.180387,2025-11-15 18:10:15.607285,0 days 00:00:10.426898,ReLU,128,32,16.0,0.2,0.009019303523528952,3,SGD,True,0.005332252170678397,COMPLETE
24,0.6096654197560297,2025-11-15 18:10:15.607782,2025-11-15 18:10:27.083307,0 days 00:00:11.475525,ReLU,128,32,16.0,0.2,0.009270050692774045,3,SGD,True,0.0021668057443954133,COMPLETE
25,0.6165784268635806,2025-11-15 18:10:27.083691,2025-11-15 18:10:53.002589,0 days 00:00:25.918898,ReLU,128,32,16.0,0.30000000000000004,0.002303371861440827,3,SGD,True,0.0016306996633941764,COMPLETE
26,0.6113942570215918,2025-11-15 18:10:53.002959,2025-11-15 18:10:58.116083,0 days 00:00:05.113124,ReLU,128,32,16.0,0.1,0.005159656251600936,3,AdamW,True,0.0005667681004237714,COMPLETE
27,0.6150793818080372,2025-11-15 18:10:58.116519,2025-11-15 18:11:12.631290,0 days 00:00:14.514771,ReLU,128,32,32.0,0.2,0.0038230029732736854,3,SGD,True,0.005222222146863752,COMPLETE
28,0.6261815070571386,2025-11-15 18:11:12.631710,2025-11-15 18:11:37.084575,0 days 00:00:24.452865,SiLU,128,128,16.0,0.0,0.00046950594171412654,3,SGD,True,0.002734516891008255,COMPLETE
29,0.6111166696377399,2025-11-15 18:11:37.084985,2025-11-15 18:11:46.793718,0 days 00:00:09.708733,ReLU,128,64,16.0,0.1,0.006670128371601707,3,SGD,True,0.0037236250735732854,COMPLETE
30,0.616027055834441,2025-11-15 18:11:46.794142,2025-11-15 18:11:57.045320,0 days 00:00:10.251178,GELU,64,128,16.0,0.1,0.006775318454620949,3,SGD,True,0.0001013079516696509,COMPLETE
31,0.6092470432610789,2025-11-15 18:11:57.045700,2025-11-15 18:12:11.300151,0 days 00:00:14.254451,ReLU,128,32,16.0,0.1,0.004482108551844862,3,SGD,True,0.004061222391823653,COMPLETE
32,0.6097987772637953,2025-11-15 18:12:11.300522,2025-11-15 18:12:23.022872,0 days 00:00:11.722350,ReLU,128,32,16.0,0.2,0.0053828735243437965,3,SGD,True,0.007334741293621693,COMPLETE
33,0.6101060025895123,2025-11-15 18:12:23.023298,2025-11-15 18:12:32.496287,0 days 00:00:09.472989,ReLU,128,32,16.0,0.1,0.007678420939198096,3,SGD,True,0.005140758606519425,COMPLETE
34,0.6177753763348532,2025-11-15 18:12:32.496862,2025-11-15 18:13:00.432122,0 days 00:00:27.935260,ReLU,128,32,16.0,0.30000000000000004,0.002139439249862174,3,SGD,True,0.0012741032703195985,COMPLETE
35,0.6155785386337828,2025-11-15 18:13:00.432524,2025-11-15 18:13:04.851833,0 days 00:00:04.419309,ReLU,128,128,32.0,0.0,0.009976618173325482,3,AdamW,True,0.009716312965818262,COMPLETE
36,0.6149340052775738,2025-11-15 18:13:04.852422,2025-11-15 18:13:31.294469,0 days 00:00:26.442047,GELU,128,32,16.0,0.2,0.0010962969698344754,3,SGD,True,0.006727661115104163,COMPLETE
37,0.6189090283462285,2025-11-15 18:13:31.295126,2025-11-15 18:13:35.112067,0 days 00:00:03.816941,ReLU,64,64,16.0,0.1,0.0036713573756744474,3,AdamW,True,0.0023919835651597682,COMPLETE
38,0.6452777404421648,2025-11-15 18:13:35.112483,2025-11-15 18:13:58.561464,0 days 00:00:23.448981,SiLU,128,128,64.0,0.30000000000000004,0.00019535565011776843,3,SGD,False,0.004061710614919805,COMPLETE
39,0.6211359671947667,2025-11-15 18:13:58.561876,2025-11-15 18:14:09.757404,0 days 00:00:11.195528,ReLU,128,32,16.0,0.0,0.0024274926748453557,3,SGD,True,0.0006620099435755938,COMPLETE
40,0.6225464819792674,2025-11-15 18:14:09.757798,2025-11-15 18:14:13.204991,0 days 00:00:03.447193,GELU,64,64,64.0,0.2,0.007254197342152411,3,AdamW,True,0.00019208224060786777,COMPLETE
41,0.6095981841130107,2025-11-15 18:14:13.205393,2025-11-15 18:14:27.413088,0 days 00:00:14.207695,ReLU,128,32,16.0,0.1,0.004378942768829337,3,SGD,True,0.003993349094825522,COMPLETE
42,0.6104023389752136,2025-11-15 18:14:27.413695,2025-11-15 18:14:36.771471,0 days 00:00:09.357776,ReLU,128,32,16.0,0.1,0.0058979349243043,3,SGD,True,0.007650031922737414,COMPLETE
43,0.6147430857200794,2025-11-15 18:14:36.771934,2025-11-15 18:15:03.028474,0 days 00:00:26.256540,ReLU,128,32,16.0,0.1,0.0011433920189347791,3,SGD,True,0.0032648972648408594,COMPLETE
44,0.617353961339446,2025-11-15 18:15:03.028924,2025-11-15 18:15:12.169857,0 days 00:00:09.140933,SiLU,128,32,32.0,0.0,0.003572998889586186,3,SGD,True,0.0013476720403252848,COMPLETE
45,0.6092579332702363,2025-11-15 18:15:12.170283,2025-11-15 18:15:27.134640,0 days 00:00:14.964357,ReLU,256,32,16.0,0.2,0.00784809688738862,3,SGD,False,0.0019444653929986948,COMPLETE
46,0.6113635635696719,2025-11-15 18:15:27.135019,2025-11-15 18:15:40.646825,0 days 00:00:13.511806,GELU,256,32,,0.2,0.007973930525616594,2,SGD,False,0.0018172426967625402,COMPLETE
47,0.6181219070481613,2025-11-15 18:15:40.647212,2025-11-15 18:15:50.025869,0 days 00:00:09.378657,ReLU,256,32,16.0,0.2,0.005704169359881808,3,SGD,False,1.895539744439409e-05,COMPLETE
48,0.6124720196552875,2025-11-15 18:15:50.026206,2025-11-15 18:16:13.127507,0 days 00:00:23.101301,GELU,256,64,64.0,0.30000000000000004,0.007593461747755329,3,SGD,False,0.0010427316053646643,COMPLETE
49,0.6143534747474396,2025-11-15 18:16:13.127887,2025-11-15 18:16:33.890233,0 days 00:00:20.762346,ReLU,256,32,,0.4,0.0031841436312182478,2,SGD,False,0.002107013785479445,COMPLETE
