number,value,datetime_start,datetime_complete,duration,params_act_fn,params_d_h1,params_d_h2,params_d_h3,params_dropout,params_lr,params_n_layers,params_optimizer_name,params_use_bn,params_weight_decay,state
0,0.6600336280104291,2025-11-15 19:31:25.087012,2025-11-15 19:31:28.831819,0 days 00:00:03.744807,ReLU,128,128,32.0,0.0,0.000895248295548313,3,AdamW,False,0.004104801322797255,COMPLETE
1,0.6516255549251231,2025-11-15 19:31:28.832162,2025-11-15 19:31:52.204683,0 days 00:00:23.372521,ReLU,64,128,,0.30000000000000004,0.00015267235710272585,2,SGD,True,0.008619362554097901,COMPLETE
2,0.6642376662904371,2025-11-15 19:31:52.205021,2025-11-15 19:31:59.000032,0 days 00:00:06.795011,ReLU,64,32,,0.2,0.0005520587083546094,2,AdamW,False,1.4412495819660664e-05,COMPLETE
3,0.6586322861936594,2025-11-15 19:31:59.000469,2025-11-15 19:32:09.973087,0 days 00:00:10.972618,SiLU,64,64,64.0,0.4,0.009251319876195473,3,SGD,False,0.009025551263767147,COMPLETE
4,0.6661995494312235,2025-11-15 19:32:09.973475,2025-11-15 19:32:30.893974,0 days 00:00:20.920499,SiLU,128,128,32.0,0.30000000000000004,0.0017488208334496002,3,SGD,True,0.005863536888534808,COMPLETE
5,0.6457399116503284,2025-11-15 19:32:30.894452,2025-11-15 19:32:54.462679,0 days 00:00:23.568227,GELU,64,32,32.0,0.2,0.00018657091840197282,3,SGD,False,9.330012326753598e-05,COMPLETE
6,0.6563901339945771,2025-11-15 19:32:54.463120,2025-11-15 19:33:12.737465,0 days 00:00:18.274345,SiLU,256,32,16.0,0.4,0.0020876261134260173,3,SGD,True,3.902394855302039e-05,COMPLETE
7,0.6653587427909065,2025-11-15 19:33:12.737915,2025-11-15 19:33:17.470602,0 days 00:00:04.732687,SiLU,128,32,,0.4,0.0010891378071790575,2,AdamW,True,0.005382309107072685,COMPLETE
8,0.6647982041397437,2025-11-15 19:33:17.470976,2025-11-15 19:33:40.736587,0 days 00:00:23.265611,GELU,256,32,,0.4,0.0014308523326198605,2,SGD,True,0.006734880203859069,COMPLETE
9,0.6468609860125144,2025-11-15 19:33:40.737019,2025-11-15 19:34:09.382366,0 days 00:00:28.645347,GELU,128,32,64.0,0.30000000000000004,0.00024677964857275396,3,SGD,True,0.0006392925186966505,COMPLETE
10,0.652466364772865,2025-11-15 19:34:09.382736,2025-11-15 19:34:12.987317,0 days 00:00:03.604581,SiLU,128,128,32.0,0.0,0.004565082505824285,3,AdamW,True,0.0011098506887138682,COMPLETE
11,0.6659192782346444,2025-11-15 19:34:12.987857,2025-11-15 19:34:17.765536,0 days 00:00:04.777679,SiLU,128,64,,0.5,0.0027957528115376074,2,AdamW,True,0.0018592512553546221,COMPLETE
12,0.6667600854095322,2025-11-15 19:34:17.766038,2025-11-15 19:34:22.689167,0 days 00:00:04.923129,SiLU,128,64,,0.5,0.0032138453660665554,2,AdamW,True,0.0015372769280300425,COMPLETE
13,0.6678811605735745,2025-11-15 19:34:22.689635,2025-11-15 19:34:29.413014,0 days 00:00:06.723379,SiLU,128,64,,0.5,0.004868529549814101,2,AdamW,True,0.00018637440037716128,COMPLETE
