number,value,datetime_start,datetime_complete,duration,params_act_fn,params_d_h1,params_d_h2,params_d_h3,params_dropout,params_lr,params_n_layers,params_optimizer_name,params_use_bn,params_weight_decay,state
0,0.9879545831359555,2025-11-15 17:10:05.970238,2025-11-15 17:10:21.706236,0 days 00:00:15.735998,GELU,256,128,,0.4,0.00025502095639605475,2,AdamW,False,0.0001227095939830048,COMPLETE
1,0.9955345287985866,2025-11-15 17:10:21.706584,2025-11-15 17:10:31.621478,0 days 00:00:09.914894,SiLU,64,32,16.0,0.0,0.004520023367300287,3,SGD,False,7.148283665404181e-05,COMPLETE
2,0.9843935506760807,2025-11-15 17:10:31.621876,2025-11-15 17:10:38.652987,0 days 00:00:07.031111,SiLU,128,64,32.0,0.4,0.004247658276734452,3,AdamW,False,2.7666078260221236e-05,COMPLETE
3,0.9988374851744272,2025-11-15 17:10:38.653365,2025-11-15 17:10:59.598741,0 days 00:00:20.945376,ReLU,128,128,,0.1,0.0006066628480442902,2,SGD,False,2.735188625725605e-05,COMPLETE
4,0.9870868953354156,2025-11-15 17:10:59.599391,2025-11-15 17:11:15.745862,0 days 00:00:16.146471,GELU,128,32,,0.4,0.0004976172086183951,2,AdamW,False,1.796582152762777e-05,COMPLETE
5,1.000527966984719,2025-11-15 17:11:15.746193,2025-11-15 17:11:38.869916,0 days 00:00:23.123723,GELU,256,128,,0.1,0.0004591261178430377,2,SGD,True,0.00011926026057362545,COMPLETE
6,0.9835285755550914,2025-11-15 17:11:38.870335,2025-11-15 17:11:56.974133,0 days 00:00:18.103798,ReLU,256,32,,0.2,0.007565755086234872,2,SGD,False,0.0007548495774953984,COMPLETE
7,0.9866799626649763,2025-11-15 17:11:56.974482,2025-11-15 17:12:07.086900,0 days 00:00:10.112418,ReLU,256,32,64.0,0.5,0.0016417139999326585,3,AdamW,True,2.0839578074107806e-05,COMPLETE
8,0.9843801682305443,2025-11-15 17:12:07.087243,2025-11-15 17:12:25.552502,0 days 00:00:18.465259,ReLU,64,128,64.0,0.4,0.0015065588345445117,3,AdamW,True,0.0038972678045267007,COMPLETE
9,0.9840593664100886,2025-11-15 17:12:25.552889,2025-11-15 17:12:37.091421,0 days 00:00:11.538532,SiLU,64,64,,0.1,0.0004451587099452642,2,AdamW,True,0.0022115834708233144,COMPLETE
10,0.9830207763231389,2025-11-15 17:12:37.091809,2025-11-15 17:12:51.963314,0 days 00:00:14.871505,ReLU,256,32,,0.2,0.009517168934152751,2,SGD,False,0.0008577008226895727,COMPLETE
11,0.9840594925687987,2025-11-15 17:12:51.963644,2025-11-15 17:13:07.035097,0 days 00:00:15.071453,ReLU,256,32,,0.2,0.00929741098169397,2,SGD,False,0.000825291274066052,COMPLETE
12,0.9843413615975145,2025-11-15 17:13:07.035455,2025-11-15 17:13:24.811587,0 days 00:00:17.776132,ReLU,256,32,,0.2,0.00999856562711471,2,SGD,False,0.0005355898797939,COMPLETE
13,0.98834837338315,2025-11-15 17:13:24.811988,2025-11-15 17:13:45.808788,0 days 00:00:20.996800,ReLU,256,32,,0.30000000000000004,0.004349705095102339,2,SGD,False,0.0014090585625948773,COMPLETE
14,0.9921367681614487,2025-11-15 17:13:45.809157,2025-11-15 17:14:06.486133,0 days 00:00:20.676976,ReLU,256,32,,0.30000000000000004,0.0023399421126954548,2,SGD,False,0.0064634633732282044,COMPLETE
15,1.027201568599239,2025-11-15 17:14:06.486527,2025-11-15 17:14:26.330481,0 days 00:00:19.843954,ReLU,256,32,,0.2,0.000137941717631429,2,SGD,False,0.00036220118188104585,COMPLETE
16,1.0004834944357253,2025-11-15 17:14:26.330811,2025-11-15 17:14:30.631628,0 days 00:00:04.300817,ReLU,256,64,,0.0,0.0061176872594412525,2,SGD,False,0.0002254958778961746,COMPLETE
17,1.008490566448246,2025-11-15 17:14:30.631974,2025-11-15 17:14:52.595794,0 days 00:00:21.963820,ReLU,256,32,32.0,0.30000000000000004,0.0025291838788274925,3,SGD,False,0.0011225620436299349,COMPLETE
18,0.98770230233402,2025-11-15 17:14:52.596236,2025-11-15 17:15:07.482399,0 days 00:00:14.886163,SiLU,64,32,,0.1,0.0065528568379745935,2,SGD,True,0.002960066182266956,COMPLETE
19,1.0042047137102204,2025-11-15 17:15:07.482868,2025-11-15 17:15:27.319975,0 days 00:00:19.837107,GELU,128,64,,0.2,0.0008596912309207217,2,SGD,False,0.007349463920400092,COMPLETE
20,1.00189530662357,2025-11-15 17:15:27.320308,2025-11-15 17:15:49.601126,0 days 00:00:22.280818,ReLU,256,32,16.0,0.30000000000000004,0.0025412875893077607,3,SGD,False,0.0006615468677499319,COMPLETE
21,0.9849396545790771,2025-11-15 17:15:49.601485,2025-11-15 17:16:05.010316,0 days 00:00:15.408831,SiLU,64,64,,0.1,0.00027917227386682923,2,AdamW,True,0.0019245605001046323,COMPLETE
22,0.986458947305722,2025-11-15 17:16:05.010771,2025-11-15 17:16:28.274485,0 days 00:00:23.263714,SiLU,64,64,,0.1,0.00011147616249969428,2,AdamW,True,0.0021375015442034887,COMPLETE
23,0.9897042483492282,2025-11-15 17:16:28.274877,2025-11-15 17:16:34.050400,0 days 00:00:05.775523,SiLU,64,64,,0.0,0.0010794322960898145,2,AdamW,True,0.0004065594802748531,COMPLETE
24,0.9839321166410574,2025-11-15 17:16:34.050770,2025-11-15 17:16:53.938674,0 days 00:00:19.887904,SiLU,64,64,,0.2,0.0003085624365620525,2,AdamW,True,0.004032374196961902,COMPLETE
25,1.024964742596374,2025-11-15 17:16:53.939018,2025-11-15 17:17:15.119682,0 days 00:00:21.180664,SiLU,64,64,,0.2,0.00023532423992838537,2,SGD,True,0.0010214536678765725,COMPLETE
26,0.9852206629487966,2025-11-15 17:17:15.120021,2025-11-15 17:17:19.983766,0 days 00:00:04.863745,ReLU,256,32,,0.2,0.006695346851838229,2,AdamW,True,0.005082483923269838,COMPLETE
27,1.0291610469732584,2025-11-15 17:17:19.984194,2025-11-15 17:17:39.757995,0 days 00:00:19.773801,ReLU,256,32,,0.30000000000000004,0.00018213211614883095,2,SGD,False,0.00892553839818368,COMPLETE
28,0.9827248240265611,2025-11-15 17:17:39.758418,2025-11-15 17:17:45.885602,0 days 00:00:06.127184,GELU,128,128,,0.2,0.003269275431389137,2,AdamW,True,0.00027105126504875396,COMPLETE
29,0.9879606497127379,2025-11-15 17:17:45.886018,2025-11-15 17:17:51.018081,0 days 00:00:05.132063,GELU,128,128,,0.30000000000000004,0.0034869278395563744,2,AdamW,False,0.00019676498459483596,COMPLETE
30,0.9878409587748916,2025-11-15 17:17:51.018415,2025-11-15 17:18:04.329233,0 days 00:00:13.310818,GELU,128,128,,0.2,0.007666628506463861,2,SGD,False,0.00010712349031102462,COMPLETE
31,0.9841035171474577,2025-11-15 17:18:04.329687,2025-11-15 17:18:09.985779,0 days 00:00:05.656092,GELU,128,128,,0.2,0.005214903078839411,2,AdamW,True,0.0002135931443546883,COMPLETE
32,0.9827744551838247,2025-11-15 17:18:09.986139,2025-11-15 17:18:16.146368,0 days 00:00:06.160229,GELU,128,128,,0.2,0.0037449042219104057,2,AdamW,True,0.0005098811055469814,COMPLETE
33,0.9862782800144144,2025-11-15 17:18:16.146854,2025-11-15 17:18:19.689100,0 days 00:00:03.542246,GELU,128,128,,0.1,0.0035068092932706127,2,AdamW,True,6.397173719091782e-05,COMPLETE
34,0.9816506817736433,2025-11-15 17:18:19.689519,2025-11-15 17:18:28.531617,0 days 00:00:08.842098,GELU,128,128,,0.5,0.0032649732015430453,2,AdamW,True,0.0005067539737783822,COMPLETE
35,0.9818045440810679,2025-11-15 17:18:28.532072,2025-11-15 17:18:39.281281,0 days 00:00:10.749209,GELU,128,128,,0.5,0.001892943576376932,2,AdamW,True,0.0004703203387542043,COMPLETE
